KR	18033	CMBTGD-AS-KR CMB TAEGU BROADCASTING
ID	140423	CMEDIANET-AS-ID PT Chandra Media Nusantara
PL	199846	COMNET-MULTIMEDIA-AS
HN	27923	COMPANIA DE TELEVISION VIA SATELITE, S.A. TEVISAT S.A.
DE	45034	COWMEDIA
AU	38905	CPHAPNIC-AS-AP Consolidated Press Holdings Limited
IN	140164	CPIPL-AS ConnectSpacelink Infomedia Pvt Ltd
JP	23635	CRCC CRCCMedia Co.,ltd
IN	135798	CRESTP-AS Springer Nature Technology And Publishing Solutions Pvt Ltd
CN	45075	CRI China Central Television
JP	23780	CTB CTB Media Inc.
JP	17936	CTK Cable Television Kani Co.,Inc.
JP	17957	CTS SOUTH TOKYO CABLETELEVISION
JP	131926	CTS-NET Cable Television Saiki Co.Ltd.
PH	137417	CUP-ASN-PL-AP Cambridge University Press is the publishing business of the University of Cambridge in UK
CV	37517	CV-Multimedia
ID	142307	CYB-AS-ID PT CYB Media Group
RS	198360	CYBERMEDIA
ID	38771	CYBERPLUS-AS-ID PT Cyberplus Media Pratama
PY	264756	Cable Television Satelital SRL
AR	52436	Cable Televisora Color
BR	267550	Chip News Provedor de Internet Eireli
US	6394	DATA-BROADCASTING
UA	61297	DATACENTER-UA LIMITED LIABILITY COMPANY ANTE MEDIAM
DE	203441	DE-MITTELRHEIN-VERLAG-1-AS
IN	133589	DECO-AS DECO MEDIA AND COMMUNICATIONS PVT LTD
NL	39022	DEEPMEDIA-AS
US	36501	DELORME-PUBLISHING
SG	133411	DGIT-AS-AP Mediamind Technologies LTD
AT	28981	DIEPRESSE-AS Styria Media IT
ID	136121	DIGITNET-AS-ID PT Digital Media Telematika
US	399344	DISNEY-TELEVISION-STUDIOS
UA	202404	DK-MEDIA-AS
GB	12789	DMG-MEDIA-LIMITED
NP	132799	DMNPL-AS-AP DISH MEDIA NETWORK PUBLIC LIMITED
NP	138526	DMPL-AS-AP Direct Media Pvt. Ltd
ID	9794	DNET-ID-AP PT. Core Mediatech D-NET
BD	63843	DOHATEC-BD Dohatec New Media
RU	198546	DOMMEDIA-AS
RU	34327	E-PUBLISH Moscow, Russia
ID	141114	EASTMEDIA-AS-ID PT Super Media Indonesia
RO	44544	EASY-MEDIA-AS
US	18570	ECHOSTAR-BROADCASTING-CORPORATION
US	22760	ECNMEDIA
PE	262253	ECONOCABLE MEDIA SAC
NL	51942	EKMEDIA
DE	41585	ELEMENTMEDIA
ID	23695	ELGANET-AS-ID ELGANET-ASN PT. Elga Yasa Media Internet Service
BD	149638	ELMAMULTIMEDIA-AS-AP Elma Multimedia
IN	133694	EMAXGLOBAL-AS EMAX GLOBAL MEDIA PVT. LTD
PE	263224	EMPRESA DE TELECOMUNICACIONES MULTIMEDIA ALFA
ID	138116	EMTN-AS-ID PT. Media Tekno Nusantara
DE	12897	ENTEGAMEDIANET ENTEGA Medianet GmbH
US	27284	ERIETIMESPUBLISHING
ID	4434	ERX-RADNET1-AS PT Rahajasa Media Internet
IN	135817	ESTO-AS-AP ESTO MEDIA PRIVATE LIMITED
IN	136720	ESTO-AS-AP ESTO MEDIA PRIVATE LIMITED
PL	210256	ETMEDIA
FR	211486	EVANSMEDIA
IN	135203	EXCELL-AS Excell Media Pvt Ltd
IN	17754	EXCELL-AS Excellmedia
AU	132858	EYEMEDIA-AS-AP Eye Media Australia Pty Ltd
ID	138079	FASTAMA-AS-ID PT. Fiqran Solusindo Mediatama
ID	136093	FAZNET-AS-ID PT Mitra Lintas Multimedia
PL	197667	FEROMEDIA-AS
ID	55682	FIBERMEDIA-AS-ID PT. Fiber Media Indonesia
PL	49743	FINEMEDIA-WROCLAW
FR	197114	FLKMEDIA
US	53294	FOX-NEWS-CHANNEL-NETWORK
