US	14448	14448 High Point University
US	6377	4JNET Eugene School District 4J
US	54583	54583 American College of Surgeons
US	394673	9408 Milwaukee Area Technical College
AL	210748	AAB-EDU
US	393847	AAMC-AS1 Association of American Medical Colleges
US	18682	AAMU-INTERNET Alabama A&M University
AU	138017	ABBNET-AS-AP Abbotsleigh School
US	394072	ABILENE-ISD Abilene Independent School District
US	394115	ABL-ASN Rehabilitation Institute of Chicago
US	1432	AC-AS-1 Albion College
US	55187	AC-CHARTER-WINDTREAM Assumption College
CA	54307	ACAD Alberta University of the Arts
US	46928	ACADEMY-SPORTS-OUTDOORS Academy Sports & Outdoors
US	395495	ACADEMYHEALTH-ASN Academy Health
CA	30256	ACADIAU Acadia University
US	400161	ACDRESEARCH Academy of Internet Research Limited Liability Company
US	394683	ACHE Arkansas Colleges of Health Education
PL	8286	ACI-EDU-AS ZUT ACI Educational AS
US	394435	ACLIBRARY Alameda County Library
US	25629	ACPS-8-ASN Albemarle County Public Schools
US	63358	ACS-PUBLIC Ascensus College Savings, Inc
AU	139344	ACTGOV-EDU-AS-AP ACT Government InTACT Group
AU	137188	ACU-AS-AP Australian Catholic University Limited
US	32601	ACUNET-2 Abilene Christian University
US	54536	ADAMSSTATE Adams State University
PH	132905	ADDU-AS-AP AS number of Ateneo de Davao University
AU	1851	ADELAIDE-UNIVERSITY-AS-AP The University of Adelaide Asia Pacific Network Information Centre
US	20306	ADELPHI Adelphi University
PH	132844	ADMU-AS-AP Ateneo de Manila University
PH	132554	ADMU-SALCEDO-AS-AP Ateneo de Manila University
US	395549	AEINSTEINCOM Albert Einstein College Of Medicine Inc.
BR	28157	AELBRA EDUC SUPERIOR-GRADUACAO E POSGRADUACAO S.A.
US	396247	AESHS125 Adlai E. Stevenson High School
US	26483	AIA-4 The American Institute of Architects
US	396212	AIMS-COMMUNITY-COLLEGE Aims Community College
AR	265637	AIQUEL EDUARDO RAUL CABLE VISION SP
JP	23793	AIST National Institute of Advanced Industrial Science and Technology
JP	59111	AIU-NET Akita International University
PK	18173	AKU-AS-PK Aga Khan University
NZ	9431	AKUNI-NZ The University of Auckland
US	7774	ALASKA University of Alaska
US	22990	ALBANYEDU University at Albany, State University of New York
US	16404	ALBRIGHT-COLLEGE Albright College
US	62867	ALDINEISD-ASN01 Aldine Independent School District
US	13513	ALFRED-UNIVERSITY Alfred University
CA	15158	ALGOMA-UNIVERSITY-COLLEGE Algoma University College
IR	35043	ALLAMEH-UNIVERSITY-AS
US	40272	ALLENINSTITUTE Allen Institute
IN	132926	ALLENK-AS-IN Allen Career Institute
US	20038	ALLENTOWNSD Allentown School District
US	17324	ALNET Yeshiva University
AU	134142	ALOYSIUS-AS-AP ST ALOYSIUS COLLEGE
US	47003	ALPS-AS-1 Littleton Public Schools
US	395664	ALTIUS-INSTITUTE-FOR-BIOMEDICAL-SCIENCES Altius Institute for Biomedical Sciences
US	26069	ALVERNIAUNIVERSITY-AS01 Alvernia University
US	397953	ALVIN-ISD-01 Alvin Independent School District
US	54438	AMC Academy Mortgage Corporation
US	26535	AMDA American Musical & Dramatic Academy Inc.
US	62779	AMER-COLLEGE-OF-CARDIOLOGY-HOSTING1 American College of Cardiology
US	20286	AMER-COLLEGE-OF-CARDIOLOGY-WASHINGTONDC American College of Cardiology
