JP	23804	AIN-NET Nonprofit Organization Kitaura Hana Net
US	27003	AMERICAN-BANKERS-ASSOCIATION
US	394063	AMHERST-H-WILDER-FOUNDATION
US	54316	AP-FOUNDATION
KR	9270	APAN-KR-AS National Infomation Society Agency
AU	136142	ARC-AS-AP AUSTRALIAN RED CROSS SOCIETY
JP	131949	ASO-NET General Incorporated Foundation Aso Telework Center
US	33470	CANBYTELEPHONEASSOCIATION
US	53411	CENTRAL-SERVICE-ASSOCIATION
IN	133992	CEOCHIPS-AS Chhattisgarh Infotech and Biotech Promotion Society
US	394062	COLLEGE-FOUNDATION-INC
US	33461	COMMUNITY-FOUNDATION-OF-NORTHWEST-INDIANA
IN	141515	CPF2013-AS Cyber Peace Foundation
KR	23568	CRA-AS-KR Cycle Racing Association
AU	58921	CSL-AS-AP Capricorn Society Limited
HN	263740	Corporacion Laceibanetsociety
GB	210777	DARYLL-SWER This AS is used for non-profit research and experiments.
NZ	132083	FCSL-AS-AP FOUNDATION CLOUD SERVICES LIMITED
US	53498	FORD-FOUNDATION
US	54974	FOUNDATIONSOFTWARE
PK	45939	FSL-AS-AP Foundation Securities Private Limited
US	15238	GATESFOUNDATION
US	33397	GENSOCIETYUTAH
CH	210752	Global Legal Entity Identifier Foundation
HU	6711	HUNGARNET-SZEGED Szeged University Association and
ID	137372	IDNIC-ASEAN-AS-ID Association Of Southeast Asian Nation
IE	200947	IE-ROYALDUBLINSOCIETY-20141223
IN	23726	IIFON-AS-AP India Internet Foundation
IE	2128	INEX Internet Neutral Exchange Association Company Limited By Guarantee
SG	141384	ISAL-AS-AP Internet Society Asia Limited
FR	211484	IT-JUNIOR Association IT-JUNIOR
AU	10025	IUSN-AS-AP The IUSN Foundation
JP	17944	JWA Japan Weather Association
KR	45397	KFPP-AS-KR KOREA FOUNDATION FOR THE PROMOTION OF PRIVATE SCHOOL
KR	10187	KISDI-AS-KR Korea Information Society Developement Institute
KR	9841	KOFIANET-AS-KR Korea Financial Investment Association
KR	17576	KOSEF-AS-KR National Research Foundation of Korea
KR	9494	KOSINET-AS National Infomation Society Agency
KR	9974	KRA-AS-KR Korea Racing Association
KR	17591	KRFNET-AS-KR National Research Foundation of Korea
UY	61455	LACTLD - LATIN AMERICAN AND CARIBBEAN TLD ASSOCIATION
US	393830	MAINE-MUNICIPAL-ASSOCIATION
FR	31576	MOGEIX Association Gixe
FR	2484	NIC-FR-DNS-ANYCAST-AFNIC AFNIC Association Francaise pour le Nommage Internet en Cooperation
FR	2486	NIC-FR-DNS-UNICAST-PARIS2 AFNIC Association Francaise pour le Nommage Internet en Cooperation
FR	2485	NIC-FR-SITES-SQY-TH3 AFNIC Association Francaise pour le Nommage Internet en Cooperation
US	17209	NORTHWEST-EVALUATION-ASSOCIATION
GB	8698	Nationwide Building Society
US	399728	P-FOUNDATION
EU	2147	PA-AS The Press Association Ltd
PH	138147	PCTA-AS-AP Philippine Cable Television Association, Inc.
KR	9458	POBA-AS-KR Public Officials Benefit Association
QA	29384	QATAR-FOUNDATION
BD	134403	QUANTUMFOUNDATION-AS-AP Quantum Foundation
AU	138363	RASON-AS-AP Royal Agricultural Society of NSW
TH	133880	REDCROSS-AS-AP The Thai Red Cross Society
US	12016	RETIREMENT-HOUSING-FOUNDATION
EU	250	SACREDCHAO-AS AS250.net Foundation
AU	133102	SAHMSC-AS-AP Sydney Anglican Home Mission Society Council
IN	132547	SAJAGPRAHARI-AS Sajag Prahari Foundation
AU	136152	SANITARIUM-AS-AP Australian Health & Nutrition Association
NZ	138360	SCMCS-AS-AP Southern Cross Medical Care Society
KR	10191	SGMF-AS-KR SEEGENE MEDICAL FOUNDATION
IN	139516	SNFIT-AS-IN Shiv Nadar Foundation
US	27200	SOCIETY-OF-AUTOMOTIVE-ENGINEERS
US	36203	STELLAR-ASSOCIATION
US	36374	STELLAR-ASSOCIATION
BE	48075	SWIFTASN Society For Worldwide Interbank Financial Telecommunication SCRL
TH	55932	THAIBMA-AS-AP The Thai Bond Market Association
US	32403	THE-HERITAGE-FOUNDATION
TH	137856	TNICF-AS-AP Thai Network Information Center Foundation
JP	55373	TRI-KOBE-NET Foundation for Biomedical Research and Innovation
IN	135404	TWTBATSOI-AS-AP THE WATCH TOWER BIBLE AND TRACT SOCIETY OF INDIA
US	22723	UN
BR	264125	UN TELECOMUNICACOES LTDA ME
TH	45229	UN-ESCAP-AS-AP United Nation - Property Management Sub-unit, Thailand
TH	45860	UN-TH-AS-AP United Nation
UA	24703	UN-UKRAINE-AS Kiev, Ukraine
IT	28977	UN-UNLB
TH	24562	UNESCAP-AS-AP The United Nations Economic and Social Commission for Asia and the Pacific ESCAP
RU	43785	UVZ-AS FSUE Production Association URALVAGONZAVOD named after Felix E. Dzerzhinsky
AR	676	United Nations Development Programme
AU	131088	WAIA-4BYTE-AS-AP Western Australian Internet Association
AU	10084	WAIA-TRANSIT-AP Western Australian Internet Association
JP	55891	WBTSJP-AS WATCH TOWER BIBLE AND TRACT SOCIETY
US	20466	WGBH-EDUCATIONAL-FOUNDATION
US	11820	WIKIMEDIA-FOUNDATION
TW	140958	WTBATSOPTB-AS-AP Watch Tower Bible and Tract Society of Pennsylvania, Taiwan Branch
PH	140734	WTBATSOTP-AS-AP Watch Tower Bible and Tract Society of the Philippines
KR	9454	WTKR-AS-KR Watch Tower Bible and Tract Society of Korea
US	10444	ZB NATIONAL ASSOCIATION
